"ASCOLTO_ID","PALINSESTO_ID","PROGRAMMA_ID","DATA_RILEVAZIONE","FASCIA_ORARIA","REGIONE","TELESPETTATORI","SHARE_PERCENTUALE","TARGET_COMMERCIALE","DISPOSITIVO"
1,1,1,"2024-01-03","Mattina","Calabria",1425882,23.00,"Adulti 25-54","Streaming"
2,1,1,"2024-01-03","Mattina","Campania",932967,7.00,"Giovani 15-34","Streaming"
3,1,1,"2024-01-03","Mattina","Emilia-Romagna",704738,5.00,"Giovani 15-34","TV Tradizionale"
4,1,1,"2024-01-03","Mattina","Lazio",1963522,16.00,"Responsabili Acquisto","Smart TV"
5,1,1,"2024-01-03","Mattina","Lombardia",1274617,24.00,"Tutti","Smart TV"
6,1,1,"2024-01-03","Mattina","Piemonte",1024506,13.00,"Responsabili Acquisto","TV Tradizionale"
7,1,1,"2024-01-03","Mattina","Puglia",1020247,32.00,"Adulti 25-54","Smart TV"
8,1,1,"2024-01-03","Mattina","Sicilia",1620262,10.00,"Tutti","TV Tradizionale"
9,1,1,"2024-01-03","Mattina","Toscana",1337264,12.00,"Adulti 25-54","Streaming"
10,1,1,"2024-01-03","Mattina","Veneto",1568045,7.00,"Responsabili Acquisto","Streaming"
11,2,1,"2024-01-06","Mattina","Calabria",1356425,26.00,"Adulti 25-54","Streaming"
12,2,1,"2024-01-06","Mattina","Campania",1276700,7.00,"Giovani 15-34","Streaming"
13,2,1,"2024-01-06","Mattina","Emilia-Romagna",644561,11.00,"Tutti","TV Tradizionale"
14,2,1,"2024-01-06","Mattina","Lazio",441192,15.00,"Adulti 25-54","Smart TV"
15,2,1,"2024-01-06","Mattina","Lombardia",1570935,35.00,"Responsabili Acquisto","Smart TV"
16,2,1,"2024-01-06","Mattina","Piemonte",905062,27.00,"Adulti 25-54","TV Tradizionale"
17,2,1,"2024-01-06","Mattina","Puglia",1474511,14.00,"Responsabili Acquisto","Smart TV"
