"CONTENUTO_ID","PROGRAMMA_ID","TITOLO","DESCRIZIONE_BREVE","DESCRIZIONE_COMPLETA","PAROLE_CHIAVE","CAST_PRINCIPALE","REGISTA","ANNO_PRODUZIONE","PAESE_ORIGINE","LINGUA_ORIGINALE","SOTTOTITOLI_DISPONIBILI"
1,1,"Italia in Diretta","Programma di informazione e attualità","Italia in Diretta è il programma di informazione di Canale 5 che ogni giorno racconta l'attualità italiana attraverso collegamenti in diretta, interviste esclusive e approfondimenti. Condotto da giornalisti esperti, il programma affronta temi di cronaca, politica, costume e società con un linguaggio accessibile a tutti.","attualità, informazione, cronaca, italia, diretta","Alberto Matano, Lorella Cuccarini","Staff Mediaset",2018,"Italia","Italiano","Italiano"
2,2,"Grande Fratello VIP","Reality show con personaggi famosi","Il Grande Fratello VIP è la versione celebrity del celebre format televisivo. Personaggi famosi del mondo dello spettacolo, della musica e dello sport convivono in una casa monitorata 24 ore su 24. Intrighi, amori, litigi e alleanze si susseguono in un mix esplosivo di emozioni e colpi di scena che tiene incollati milioni di telespettatori.","reality, vip, celebrity, casa, diretta, eliminazione","Alfonso Signorini","Endemol",2016,"Italia","Italiano","Italiano, Inglese"
3,3,"Striscia la Notizia","Telegiornale satirico","Striscia la Notizia è il TG satirico più longevo della televisione italiana. Con ironia e graffiante satira, il programma denuncia sprechi, truffe e malcostume italiano. Le celebri inchieste dei suoi inviati hanno fatto storia, smascherando situazioni al limite della legalità sempre con il sorriso.","satira, tg, inchiesta, velina, gabibbo","Ezio Greggio, Enzo Iacchetti","Antonio Ricci",1988,"Italia","Italiano","Italiano"
4,4,"TGCOM24","Canale all-news 24 ore","TGCOM24 è il canale all-news di Mediaset che fornisce informazione continua 24 ore su 24. Breaking news, approfondimenti, interviste e collegamenti in diretta dai luoghi delle notizie. Un punto di riferimento per chi vuole essere sempre aggiornato su politica, economia, sport e spettacolo.","news, breaking, 24ore, informazione, diretta","Staff TGCOM","Mediaset",2011,"Italia","Italiano","Italiano"
5,5,"Le Iene","Programma di inchieste e intrattenimento","Le Iene è il programma cult di Italia 1 che mescola inchieste giornalistiche, scherzi alle celebrità e servizi di denuncia. Gli inviati in giacca e cravatta nera sono diventati un'icona della televisione italiana, portando alla luce scandali e storie che hanno fatto discutere l'opinione pubblica.","inchiesta, scherzi, denuncia, iene, servizi","Nicola Savino, Alessia Marcuzzi","Davide Parenti",1997,"Italia","Italiano","Italiano"
6,6,"Verissimo","Talk show del sabato pomeriggio","Verissimo è il talk show condotto da Silvia Toffanin che ogni weekend accoglie celebrità, artisti e personaggi del momento per interviste esclusive e toccanti. Storie di vita, successi, amori e difficoltà raccontate in un'atmosfera intima che emoziona il pubblico da oltre 25 anni.","talk show, interviste, celebrity, emozioni, weekend","Silvia Toffanin","Mediaset",1996,"Italia","Italiano","Italiano"
7,7,"Amici di Maria De Filippi","Talent show musicale e di danza","Amici è il talent show più longevo d'Italia, una vera e propria scuola di spettacolo che ha lanciato artisti come Emma, Alessandra Amoroso e molti altri. Giovani talenti si sfidano in prove di canto e ballo sotto la guida di professori esperti, in un percorso di crescita artistica e personale.","talent, musica, danza, scuola, giovani, sfide","Maria De Filippi","Fascino PGT",2001,"Italia","Italiano","Italiano"
8,8,"Uomini e Donne","Dating show","Uomini e Donne è il dating show di Maria De Filippi dove tronisti e corteggiatori cercano l'anima gemella. Tra esterne romantiche, discussioni accese e colpi di scena, il programma racconta la ricerca dell'amore in tutte le sue sfumature, dal trono classico a quello over.","dating, amore, tronista, corteggiatore, scelta","Maria De Filippi","Fascino PGT",1996,"Italia","Italiano","Italiano"
9,9,"Chi Vuol Essere Milionario","Quiz show","Chi Vuol Essere Milionario è il quiz show che ha fatto la storia della televisione mondiale. I concorrenti devono rispondere a 15 domande di cultura generale di difficoltà crescente per vincere il montepremi finale. Tensione, emozione e colpi di scena in ogni puntata.","quiz, cultura, domande, milionario, gerry scotti","Gerry Scotti","Endemol",2000,"Italia","Italiano","Italiano"
10,10,"Forum","Programma di casi legali","Forum è il programma che simula un tribunale televisivo dove attori interpretano casi ispirati a situazioni reali. Questioni di diritto civile e familiare vengono dibattute davanti a veri giudici, offrendo al pubblico informazione legale in modo accessibile e coinvolgente.","tribunale, legge, casi, giudice, diritto","Barbara Palombelli","Corima",1985,"Italia","Italiano","Italiano"
